Airport Code,PageRank
ORD,0.405976259954538
DEN,0.3727718016452493
ATL,0.32312700120065313
LAS,0.2538984861188098
DFW,0.2495913123603698
LAX,0.24404341140530525
IAH,0.24221294753317563
PHX,0.22780316991441485
MSP,0.21858267327697675
MCO,0.21588224631541522
EWR,0.21383026234165695
MIA,0.20693789615056551
CLT,0.20167130901769345
DTW,0.1875713451200753
SEA,0.1874442038401157
PHL,0.1710884861269781
ANC,0.1665446461950103
SLC,0.15854443269007623
MEM,0.15456903399625807
FLL,0.15256760509252432
TPA,0.15194010408851083
SFO,0.1503802692412611
IAD,0.14856307293116838
SDF,0.14625825093086722
BET,0.14437740517900868
BOS,0.14061768681522271
BNA,0.13756812744303418
JFK,0.12791538434288882
AUS,0.12709522036838167
CVG,0.12468259982824839
WFB,0.11869979155991599
BWI,0.11855539770979998
IND,0.11829702254527359
DCA,0.11733307539728417
PDX,0.11689180227952939
MSY,0.09455256574681886
FAI,0.09440784617423809
SAN,0.09336932208352189
STL,0.09316340027930842
LGA,0.09176437499983324
RSW,0.09115693454121508
RDU,0.08746175595489328
MDW,0.0855727087548543
DAL,0.08359203322700268
OAK,0.07689458886924533
SAT,0.07609119492903021
PIT,0.07475939537176886
MCI,0.07388019352613447
HOU,0.07276549610298597
ONT,0.0720463847908827
CLE,0.06927046847521261
CMH,0.06596322473219553
SJC,0.06432910287319517
MKE,0.06424027138310578
HNL,0.06412960321583709
SMF,0.06346138292655888
SJU,0.06023077490000001
PBI,0.058424013208189456
JAX,0.05468418575818206
SRQ,0.05376203752802957
OME,0.05240484790391054
EDF,0.0521113864970313
SNA,0.04811796127998387
RNO,0.04737389482595441
A43,0.04732643726065233
BDL,0.04723064438405552
OTZ,0.04673794647962828
RIC,0.045906905227842305
CHS,0.044469193562348804
SFB,0.04288838231260572
BUF,0.04287189650213547
OKC,0.042601455430168786
OMA,0.04233549104431742
ELP,0.04206221104336524
BOI,0.0411805315823015
LPS,0.04093108482670254
TMB,0.04040318793665069
GRR,0.03899288396084592
HPN,0.03876199335526445
ABQ,0.03835854517607985
OGG,0.03784064265946466
DSM,0.03690398844780451
ORF,0.036521647351387326
BUR,0.03607181821946009
VNY,0.035503438486267844
TUL,0.03536114580553879
TUS,0.03529679410222286
AZA,0.035117591282325944
YNG,0.034868362518813395
GEG,0.03460397739001028
SYR,0.034417304990251106
PSP,0.03431029766595186
BZN,0.0338610796075136
PVD,0.03376966672596323
PIE,0.03362272248741614
GSO,0.03264166657592573
JNU,0.03132929991973066
TYS,0.0306962640634369
GSP,0.030580273278335252
DOV,0.02989635629953255
BHM,0.02966040877614525
ADQ,0.029454810891949297
KOA,0.02938532034332194
YIP,0.028981755410839614
MSN,0.027964030149526958
RNT,0.027950653146292248
OR4,0.0275833689507467
TEB,0.027463100524428078
WWA,0.027153381359417916
BLD,0.026006959563923356
TTD,0.025983749578099853
LGB,0.0259501530750455
VGT,0.025805798619618747
AFW,0.025610420152570798
SAV,0.02535339290987051
RFD,0.02527392132624852
ACY,0.024970088904329852
ALB,0.024774088639919225
KSM,0.024694291402483123
ANI,0.02464040956656614
GPT,0.024518072185006082
LIT,0.024136547127715853
AKN,0.0240148441590787
MDT,0.023768299926943688
COS,0.02376714017713365
ICT,0.02313879255874209
XNA,0.022991371635403365
UNK,0.022663979950315327
EMK,0.022211737023996505
FAT,0.021647711093121736
ROC,0.021469191318797258
MYR,0.020809736806913205
IFP,0.020739182812364462
GAL,0.020556513290055166
TVL,0.020435949695516584
PGD,0.02040652950004724
CID,0.020395346641887673
DLG,0.019603736124216835
FSD,0.019596053942655255
LRD,0.01900792501134292
FAR,0.01887815810335316
HRL,0.018824049054042703
LBB,0.018533077152881605
SBN,0.018273341569367257
PNS,0.018009901860832556
SBA,0.017914833075970922
CAE,0.017610264941424363
T82,0.017131454733503623
DTO,0.017131454733503623
LSV,0.017131454733503623
STT,0.017077540417787387
LIH,0.016610474122498227
EYW,0.016437680821647996
BID,0.01616285005456514
SPB,0.01616285005456514
SSB,0.01616285005456514
WST,0.01616285005456514
OPF,0.016131378345901472
SOP,0.016008386882559643
LEX,0.016001917548290383
PWM,0.015949168988297777
SCC,0.015794560933522918
HSV,0.01577924766881822
AEX,0.015526132174728454
TLH,0.015475469522183058
MHT,0.015151090976580883
DUT,0.015015455491593796
GLR,0.01500974744648329
EUG,0.014976319950579858
BED,0.01494957548842749
1G4,0.014883056944637273
SGF,0.01481260429971235
SNS,0.01465371173693062
FWA,0.014276547064275202
MWH,0.014170681236757389
WWP,0.014126120705176914
